plot;Fagus;N;P;pH KCl;pH;Ca;OC
1;0;0.742;0.083;6.83;8.22;1.13;45.51
2;1;3.416;0.0435;6.04;7.08;1.08;35.055
3;0;2.737;0.0389;6.92;8.1;0.82;23.37
4;0;2.24;0.054;6.13;6.87;0.72;15.26
7;1;1.428;0.053;7;7.3;1.46;37.4
8;0;1.414;0.0677;4.5;5.6;1.55;62.4
10;0;2.142;0.1316;6.6;7.7;1.91;32.64
11;1;1.68;0.044;5.51;6.26;0.62;39.975
12;0;2.184;0.0421;7.17;8.39;0.62;85.485
13;1;1.596;0.0556;6.33;7.26;1.03;67.035
15;1;2.534;0.0312;6;6.7;1.55;47.6
16;0;2.128;0.0579;3.44;5.23;0.72;19.68
17;0;2.17;0.0702;7.02;7.73;0.72;37.515
20;1;1.57;0.07;5.1;5.8;2.56;13.9
23;1;1.785;0.0535;5.35;6.2;1.54;35.5
25;0;0.581;0.043;7.13;8.36;1.03;25.83
26;1;1.918;0.0772;3.1;4.52;0.62;25.83
34;1;0.749;0.0408;3;4.3;1.425;47.04
35;1;1.512;0.0472;5.25;5.81;0.72;25.215
39;1;1.134;0.0115;3.2;4.3;1.51;41.3
40;0;3.311;0.065;3.43;4.89;0.82;21.5086
41;0;0.805;0.0333;4.39;6.18;0.72;46.125
42;1;1.757;0.0259;4.3;5.5;1.9;29.74
43;1;1.141;0.015;5.05;5.35;0.47;10.8
47;1;1.232;0.015;5.47;6.1;1.32;26.2
48;1;2.261;0.0031;4.05;4.2;0.76;16.3
