Species;L;T;K;F;R;N;S
Agrostis_capillaris;7;;3;;4;4;0
Agrostis_curtisii;7;;;6;2;1;0
Calluna_vulgaris;8;;3;;1;1;0
Carex_nigra;8;;3;8;3;2;1
Cerastium_glomeratum;7;5;3;5;5;5;0
Danthonia_decumbens;8;;2;;3;2;0
Drosera_rotundifolia;8;4;3;9;1;1;0
Erica_cinerea;7;6;1;5;2;1;0
Erica_tetralix;8;5;1;8;1;2;0
Festuca_ovina;7;;3;;3;1;0
Galium_saxatile;7;5;2;5;2;3;0
Juncus_effusus;8;5;3;7;3;4;0
Juncus_squarrosus;8;5;2;7;1;1;0
Luzula_sylvatica;4;4;2;5;4;4;0
Molinia_caerulea;7;;3;7;;2;0
Narthecium_ossifragum;8;4;1;9;2;1;0
Plantago_lanceolata;6;;3;;;;0
Potentilla_erecta;6;;3;;;2;0
Pteridium_aquilinum;6;5;3;5;3;3;0
Taraxacum_officinale;7;;;5;7;7;1
Trichophorum_cespitosum;8;4;3;9;1;1;0
Trifolium_repens;8;;;5;6;6;1
Vaccinium_myrtillus;5;;5;;2;3;0
Viola_riviniana;5;;3;4;4;;0
