"Achillea.millefolium","Agrostis.capillaris","Agrostis.vinealis","Arrhenatherum.elatius","Betula.pendula","Calluna.vulgaris","Carex.pilulifera","Castanea.sativa","Cornus.sanguinea","Cytisus.scoparius","Dactylis.glomerata","Danthonia.decumbens","Deschampsia.flexuosa","Dryopteris.dilatata","Erica.cinerea","Frangula.alnus","Genista.anglica","Hieracium.pilosella","Hieracium.sabaudum","Hypericum.perforatum","Hypochaeris.radicata","Ilex.aquifolium","Juncus.effusus","Larix.kaempferi","Molinia.caerulea","Picris.hieracioides","Pinus.sylvestris","Potentilla.sterilis","Prunus.serotina","Pteridium.aquilinum","Quercus.petraea","Quercus.robur","Quercus.rubra","Robinia.pseudoacacia","Rosa.canina","Rubus.fruticosus","Rumex.acetosella","Senecio.inaequidens","Sorbus.aucuparia","Vaccinium.myrtillus"
0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0,15,0,0,0,50,1,0,0,1,0,1,0,0,5,0,1,1,0,0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,60,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,4,0,0,20,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,1,0,0,0,2,1,0,0,0
0,0,4,0,4,30,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,1,1,0,0,1,2,0,0,0
0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,10,0,2,15,10,0,30,0,0,0,0,0,0,0
0,0,0,0,10,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,40,0,30,0,20,1,0,1,1,0,0,1,0,0,5,2
1,0,0,0,30,0,0,0,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,30,0,1,0,5,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,90,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,50,30,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,1,0,4,1,0,0,1,0,1,1,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,60,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,1,2,0,0,0
0,0,0,0,1,60,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0
0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
