P;K;Mg;S;Fe;Zn;pH;Ca;Managementtype;Landuse
47.4;165,9;64.3;42.3;200.1;2.45;4.1;436.1;4;Hayfield
32.3;73,7;52.5;25.5;204.4;2.32;6;7778;4;Hayfield
64.9;251,1;59.7;52.9;170;1.98;4.5;517.6;4;Hayfield
22.7;43,6;25.7;14.9;8.4;0.92;5.9;758.5;4;Haypastu
26.5;61,1;37;21.4;81.4;1.87;4.6;609.1;1;Pasture
24.6;78,7;;25.3;132;1.78;7.7;1004.3;4;Pasture
48.4;127,4;75.1;46.9;32.2;1.54;4.5;499.6;4;Hayfield
62.8;215,2;102.5;48.6;32;1.48;7.1;956.6;4;Haypastu
55.8;205,3;126.3;35.9;96.4;1.99;7.5;1250.1;1;Pasture
32.7;126,4;61.3;31.1;9.5;0.95;6.2;871.4;4;Pasture
40.5;313,8;118.9;60.2;178;2.32;2.8;540.7;2;Hayfield
38.1;146,8;75;36.6;4.6;0.67;2.6;512.2;2;Pasture
63;167,3;70.7;35.2;39;1.32;2.9;356.7;2;Haypastu
31;138,2;45.3;27.1;1.5;0.12;2.8;394.6;3;Pasture
42.1;152,1;90;32.3;48.3;1.58;2.1;258.9;1;Haypastu
40.9;171,4;151.4;40.8;19;1.19;3.1;368.2;3;Haypastu
61.9;198,8;86.3;486;76;1.67;4.2;546.3;1;Haypastu
26.5;104,4;74.4;22.2;5.9;0.78;4;484.8;4;Hayfield
62;171,4;94.9;33.8;2.5;0.41;3.1;654.1;3;Pasture
54.5;180,6;125.8;39.5;3;0.49;2.7;219.3;3;Hayfield
67.7;207,1;209.1;58.1;35.4;1.55;5;973.3;1;Haypastu
50.6;151,7;64.8;30.2;2.3;0.39;3.6;648.4;1;Haypastu
60.8;233,7;127.2;40.7;4.4;0.65;2.8;487.6;1;Haypastu
73.5;260,5;105.3;42.5;2.4;0.38;3.5;658.2;3;Hayfield
